time,co2,temp
1950,2.436845e+15,0.05893541030124538
1952,2.441016e+15,0.20153703274079268
1954,2.4466724e+15,-0.04242996676426477
1956,2.451474e+15,0.023631036442087822
1958,2.456559e+15,-0.06675140732994105
1960,2.4663852e+15,0.2544304866134676
1962,2.4772585e+15,-0.10097762035462192
1964,2.4872467e+15,-0.23505434925698884
1966,2.4990683e+15,-0.1876941993463722
1968,2.5112483e+15,-0.20008758049157413
1970,2.529154e+15,0.07093337510813551
1972,2.5505607e+15,-0.04776273956271856
1974,2.575773e+15,-0.01616232527164622
1976,2.5838e+15,0.14335020980389382
1978,2.6096015e+15,0.013064287762181456
1980,2.637777e+15,0.11424852779612611
1982,2.6546186e+15,0.08633907628786612
1984,2.6794682e+15,0.026820212041826608
1986,2.7028004e+15,0.21590892038762868
1988,2.7356362e+15,0.29753492037529367
1990,2.7583528e+15,0.2338084395915511
1992,2.7748e+15,0.10797799335469922
1994,2.7913833e+15,0.09690079947793606
1996,2.8195894e+15,0.33670440937182394
1998,2.849983e+15,0.47643959677777065
2000,2.8759573e+15,0.5816401953802739
2002,2.9049516e+15,0.5952974306272077
2004,2.9373526e+15,0.7637295454861572
2006,2.9678648e+15,0.7574275494279684
2008,2.996834e+15,0.7960477414740931
2010,3.0282062e+15,0.8085295455341992
2012,3.062524e+15,0.8358678930563931
2014,3.0978512e+15,0.9690329679614488
