year,siconc,scenario
1950,40.168167,historical
1951,41.92072,historical
1952,42.558216,historical
1953,42.581173,historical
1954,42.02055,historical
1955,41.46963,historical
1956,40.79362,historical
1957,41.12003,historical
1958,41.85545,historical
1959,41.502632,historical
1960,40.496555,historical
1961,41.310223,historical
1962,41.803066,historical
1963,41.204224,historical
1964,42.146008,historical
1965,41.65371,historical
1966,42.11173,historical
1967,42.057938,historical
1968,43.12648,historical
1969,41.19029,historical
1970,41.493076,historical
1971,39.35066,historical
1972,40.29511,historical
1973,40.08222,historical
1974,38.900257,historical
1975,39.92887,historical
1976,39.381695,historical
1977,40.45737,historical
1978,39.365192,historical
1979,38.942413,historical
1980,39.167107,historical
1981,40.148438,historical
1982,39.301678,historical
1983,39.470016,historical
1984,40.20976,historical
1985,40.271126,historical
1986,39.235004,historical
1987,38.00947,historical
1988,37.209175,historical
1989,37.559284,historical
1990,38.64664,historical
1991,38.846645,historical
1992,38.469013,historical
1993,37.101,historical
1994,39.10808,historical
1995,38.455334,historical
1996,37.456078,historical
1997,37.899906,historical
1998,38.7555,historical
1999,37.693928,historical
2000,36.74782,historical
2001,37.048832,historical
2002,36.450623,historical
2003,35.139866,historical
2004,35.419556,historical
2005,34.556858,historical
2006,34.20075,historical
2007,32.903378,historical
2008,33.973194,historical
2009,34.073444,historical
2010,33.07444,historical
2011,35.416813,historical
2012,36.131634,historical
2013,35.981518,historical
2014,36.16296,historical
2015,40.822067,ssp245
2016,40.948807,ssp245
2017,40.245926,ssp245
2018,40.38637,ssp245
2019,38.806957,ssp245
2020,39.939903,ssp245
2021,40.784733,ssp245
2022,39.79905,ssp245
2023,39.059235,ssp245
2024,39.30827,ssp245
2025,38.366276,ssp245
2026,38.760265,ssp245
2027,38.172073,ssp245
2028,38.326973,ssp245
2029,38.080765,ssp245
2030,37.77563,ssp245
2031,38.53644,ssp245
2032,37.680923,ssp245
2033,36.695248,ssp245
2034,36.973835,ssp245
2035,37.503284,ssp245
2036,36.473988,ssp245
2037,37.118484,ssp245
2038,37.01958,ssp245
2039,36.478596,ssp245
2040,35.37505,ssp245
2041,35.860126,ssp245
2042,36.566162,ssp245
2043,36.167088,ssp245
2044,35.979626,ssp245
2045,35.663773,ssp245
2046,34.59966,ssp245
2047,35.419857,ssp245
2048,34.66858,ssp245
2049,34.45477,ssp245
2050,35.218506,ssp245
2051,33.508816,ssp245
2052,33.621166,ssp245
2053,34.38573,ssp245
2054,34.43474,ssp245
2055,34.050873,ssp245
2056,35.054874,ssp245
2057,34.88544,ssp245
2058,34.534336,ssp245
2059,33.560806,ssp245
2060,33.8577,ssp245
2061,34.076614,ssp245
2062,32.68781,ssp245
2063,33.624973,ssp245
2064,32.655525,ssp245
2065,32.458996,ssp245
2066,31.87001,ssp245
2067,33.855286,ssp245
2068,33.613976,ssp245
2069,31.60247,ssp245
2070,31.97709,ssp245
2071,31.463076,ssp245
2072,31.450808,ssp245
2073,30.726377,ssp245
2074,31.896414,ssp245
2075,32.257168,ssp245
2076,31.706919,ssp245
2077,31.64794,ssp245
2078,30.550566,ssp245
2079,31.734297,ssp245
2080,31.882965,ssp245
2081,31.953539,ssp245
2082,32.16283,ssp245
2083,31.727102,ssp245
2084,29.603806,ssp245
2085,28.776522,ssp245
2086,29.909082,ssp245
2087,30.458136,ssp245
2088,29.10005,ssp245
2089,29.319906,ssp245
2090,29.462095,ssp245
2091,29.65081,ssp245
2092,28.297768,ssp245
2093,28.291061,ssp245
2094,28.264397,ssp245
2095,28.554985,ssp245
2096,28.53036,ssp245
2097,28.56205,ssp245
2098,28.441164,ssp245
2099,27.644379,ssp245
2100,26.774948,ssp245
